surveyee,Major,year,Score,Question
s87,CS,1,4,Q1
s88,CS,1,5,Q1
s89,CS,1,5,Q1
s90,CS,2,5,Q1
s91,Industrial Engineering,4,5,Q1
s92,CS,2,5,Q1
s93,ECE,1,5,Q1
s94,ECE,2,5,Q1
s95,CS,1,5,Q1
s96,CS & Phy,1,5,Q1
s97,CS,1,5,Q1
s98,CS,1,5,Q1
s99,Chemical Engineering,2,5,Q1
s100,CS,2,5,Q1
s101,CS,3,5,Q1
s102,CS,1,5,Q1
s103,CS,1,5,Q1
s104,Math,1,5,Q1
s105,CS,1,5,Q1
s106,,,5,Q1
s107,ECE,4,4,Q1
s108,CS,2,4,Q1
s109,CS,1,5,Q1
s110,CS,1,5,Q1
s111,CS,2,5,Q1
s112,CS,1,5,Q1
s113,CS,2,5,Q1
s114,ECE,2,4,Q1
s115,ECE,2,4,Q1
s116,ECE,2,5,Q1
s117,CS,2,5,Q1
s118,CS,1,5,Q1
s119,Bioinformatics,1,3,Q1
s120,ECE,3,5,Q1
s121,Microbiology,2,,Q1
s122,ECE,2,5,Q1
s123,CS,1,4,Q1
s124,CS,2,5,Q1
s125,Chemical Engineering,graduate,5,Q1
s126,CS,2,5,Q1
s127,Math/Statistics,4,5,Q1
s128,Math,3,5,Q1
s129,CS/ Phy,1,5,Q1
s130,CS,1,4,Q1
s131,Geography,Phd,5,Q1
s134,CS,1,5,Q1
s135,CS,2019 winter,5,Q1
s136,CS,2,3,Q1
s137,CS,2,5,Q1
s138,CS,2,5,Q1
s139,ME,1,5,Q1
s140,ECE,4,5,Q1
s141,CS,1,2,Q1
s142,CS,2,5,Q1
s143,CS,1,3,Q1
s144,CS,,5,Q1
s145,CS & Chemistry,,5,Q1
s146,ECE,3,5,Q1
s147,CS,2,4,Q1
s87,CS,1,4,Q2
s88,CS,1,5,Q2
s89,CS,1,4,Q2
s90,CS,2,3,Q2
s91,Industrial Engineering,4,5,Q2
s92,CS,2,4,Q2
s93,ECE,1,5,Q2
s94,ECE,2,4,Q2
s95,CS,1,5,Q2
s96,CS & Phy,1,5,Q2
s97,CS,1,4,Q2
s98,CS,1,4,Q2
s99,Chemical Engineering,2,2.5,Q2
s100,CS,2,4,Q2
s101,CS,3,5,Q2
s102,CS,1,4,Q2
s103,CS,1,3,Q2
s104,Math,1,5,Q2
s105,CS,1,3,Q2
s106,,,5,Q2
s107,ECE,4,3,Q2
s108,CS,2,4,Q2
s109,CS,1,4,Q2
s110,CS,1,,Q2
s111,CS,2,5,Q2
s112,CS,1,5,Q2
s113,CS,2,3,Q2
s114,ECE,2,4,Q2
s115,ECE,2,4,Q2
s116,ECE,2,4,Q2
s117,CS,2,5,Q2
s118,CS,1,5,Q2
s119,Bioinformatics,1,3,Q2
s120,ECE,3,4,Q2
s121,Microbiology,2,,Q2
s122,ECE,2,5,Q2
s123,CS,1,5,Q2
s124,CS,2,3,Q2
s125,Chemical Engineering,graduate,3,Q2
s126,CS,2,4,Q2
s127,Math/Statistics,4,4,Q2
s128,Math,3,4,Q2
s129,CS/ Phy,1,4,Q2
s130,CS,1,4,Q2
s131,Geography,Phd,3,Q2
s134,CS,1,3,Q2
s135,CS,2019 winter,4,Q2
s136,CS,2,3,Q2
s137,CS,2,5,Q2
s138,CS,2,,Q2
s139,ME,1,5,Q2
s140,ECE,4,5,Q2
s141,CS,1,3,Q2
s142,CS,2,3,Q2
s143,CS,1,3,Q2
s144,CS,,5,Q2
s145,CS & Chemistry,,5,Q2
s146,ECE,3,5,Q2
s147,CS,2,3,Q2
s87,CS,1,5,Q3
s88,CS,1,5,Q3
s89,CS,1,4,Q3
s90,CS,2,4,Q3
s91,Industrial Engineering,4,5,Q3
s92,CS,2,5,Q3
s93,ECE,1,4,Q3
s94,ECE,2,4,Q3
s95,CS,1,5,Q3
s96,CS & Phy,1,5,Q3
s97,CS,1,4,Q3
s98,CS,1,5,Q3
s99,Chemical Engineering,2,5,Q3
s100,CS,2,5,Q3
s101,CS,3,5,Q3
s102,CS,1,5,Q3
s103,CS,1,5,Q3
